Post ID,Permalink,Post Message,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic watches at 95%,Lifetime Organic watches at 95%,Lifetime Paid watches at 95%,Lifetime Paid watches at 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post consumers by type - link clicks,Lifetime Post consumers by type - other clicks,Lifetime Post consumers by type - photo view,Lifetime Post Consumptions by type - link clicks,Lifetime Post Consumptions by type - other clicks,Lifetime Post Consumptions by type - photo view,Lifetime Negative feedback - hide_all_clicks,Lifetime Negative feedback - hide_clicks,Lifetime Negative feedback - unlike_page_clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - unlike_page_clicks
187446750783_10153359024455784,https://www.facebook.com/ibmwatson/posts/10153359024455784,Hate FCUSA.  Treadmills are always broken!,,,12/31/15 6:28, ,2291,2291,0,3516,3516,0,66,36,52,0,0,2475,1474,0,0,64,0,0,0,0,0,0,0,0,0,0,1,38,,1,38,,19,20,4,21,27,4,,,,,,
187446750783_10153215851080784,https://www.facebook.com/ibmwatson/posts/10153359022025784,Run down equipment at this place.  Not happy.,,,12/31/15 6:26, ,158,158,0,228,228,0,383,307,544,0,0,0,0,0,0,205,,,,,,,,,0,0,6,83,7,6,85,10,,,307,,,544,,,,,,
187446750783_10153357233820784,https://www.facebook.com/ibmwatson/posts/10153357233820784:0,Difficult to sign up for classes,,,12/30/15 7:00, ,4203,4203,0,7377,7377,0,262,150,222,0,0,5152,2946,0,0,196,,,,,,,,,0,0,8,131,34,9,130,35,25,70,67,26,102,94,,,,,,
187446750783_10153355476175784,https://www.facebook.com/ibmwatson/posts/10153355476175784,Does anyone know how to sign up for FCUSA classes?,,,12/29/15 6:26, ,3996,3996,0,6974,6974,0,123,58,64,0,0,3714,1967,0,0,101,0,0,0,0,0,0,0,0,0,0,2,71,21,2,70,21,43,17,,44,20,,,,,,,
187446750783_10153353697105784,https://www.facebook.com/ibmwatson/posts/10153353697105784:0,Went to work out yesterday. 6 or 8 treadmills were not working!  I am not happy when I can't work out!,,,12/28/15 7:05, ,2847,2847,0,5031,5031,0,156,95,139,1,1,3544,1862,0,0,109,,,,,,,,,0,0,5,66,16,6,66,16,18,23,62,19,37,83,1,,,1,,
187446750783_10153351555645784,https://www.facebook.com/ibmwatson/posts/10153351555645784:0,Can never figure out how to sign up for a class,,,12/27/15 7:00, ,2514,2514,0,4171,4171,0,126,83,116,0,0,2113,1074,0,0,72,,,,,,,,,0,0,,42,12,,44,13,6,7,71,6,13,97,,,,,,
187446750783_10153348958265784,https://www.facebook.com/ibmwatson/posts/10153348958265784:0,"Heard their classes are good, but can't figure out how to sign up!",,,12/26/15 10:20, ,5873,5873,0,10310,10310,0,466,368,656,1,1,7220,3684,0,0,378,,,,,,,,,0,0,9,134,43,12,137,47,112,129,226,116,214,326,,1,,,1,
187446750783_10153345000615784,https://www.facebook.com/ibmwatson/posts/10153345000615784,We may be looking for another gym!  Too many equipment problems,,,12/24/15 7:52, ,2738,2738,0,3774,3774,0,38,11,14,0,0,1700,914,0,0,35,0,0,0,0,0,0,0,0,0,0,2,26,,2,27,,3,7,3,3,8,3,,,,,,
187446750783_10153343169940784,https://www.facebook.com/ibmwatson/posts/10153343169940784,Can't believe they can't keep a treadmill working!,,,12/23/15 7:55, ,6761,6761,0,11497,11497,0,203,111,144,3,3,5921,3314,0,0,184,0,0,0,0,0,0,0,0,0,0,6,105,33,11,104,35,61,60,,69,75,,2,1,,2,1,
187446750783_10153341048340784,https://www.facebook.com/ibmwatson/posts/10153341048340784,I loathe going to FCUSA.  Equipment never works and those that do are always taken!,,,12/22/15 8:34, ,38054,38054,0,66685,66685,0,1386,846,1096,9,9,28199,15357,0,0,890,0,0,0,0,0,0,0,0,0,0,29,687,155,34,684,160,592,347,1,626,469,1,3,6,,3,6,
