city,State,Revenue,Class,Month
New York City,NY,493.85,Zumba,1
Wilkes Barre,PA,329.23,Yoga 101,1
Yonkers,NY,468.86,Yoga 201,1
Trenton,NJ,263.2,Yoga 101,1
Camden,NJ,131.27,Spinning,1
Pittsburgh,PA,472.84,PiYo,1
Brooklyn,NY,344.06,Yoga 201,1
Rochester,NY,284.83,Yoga 201,1
Paterson,NJ,395.59,Zumba,1
Jamaica,NY,382.04,Yoga 201,1
New York City,NY,309.78,Spinning,1
Allentown,PA,186.77,PiYo,1
White Plains,NY,217.87,Yoga 201,1
New York City,NY,102.42,Spinning,1
Albany,NY,432.38,Zumba,1
New York City,NY,302.5,Spinning,1
Erie,PA,203.47,Zumba,1
New York City,NY,447.98,Yoga 101,1
New York City,NY,247.18,Zumba,1
New York City,NY,244.51,Zumba,1
Pittsburgh,PA,102.4,Spinning,1
Philadelphia,PA,455.6,PiYo,1
Allentown,PA,335.48,Yoga 201,1
Rochester,NY,335.41,Zumba,1
New York City,NY,356.28,Insanity,1
New York City,NY,370.23,PiYo,1
New York City,NY,317.27,Insanity,1
Brooklyn,NY,334.08,PiYo,1
Philadelphia,PA,363.99,Spinning,1
Jamaica,NY,384.46,Spinning,1
Pittsburgh,PA,359.51,Zumba,1
Camden,NJ,186.52,PiYo,1
Syracuse,NY,145.63,PiYo,1
Pittsburgh,PA,276.69,PiYo,1
Philadelphia,PA,414.79,Spinning,1
Albany,NY,403.96,Zumba,1
Buffalo,NY,242.49,Spinning,1
Pittsburgh,PA,349.26,PiYo,1
New York City,NY,165.77,Zumba,1
Philadelphia,PA,482.09,Spinning,1
Mc Keesport,PA,235.33,Yoga 201,1
White Plains,NY,491.92,Spinning,1
New York City,NY,464.16,Insanity,1
New York City,NY,172.88,PiYo,1
New York City,NY,368.74,Zumba,1
Philadelphia,PA,180.69,Yoga 201,1
Bethlehem,PA,173.79,Zumba,1
Newark,NJ,204.27,Yoga 101,1
Brooklyn,NY,150.51,PiYo,1
Buffalo,NY,262.09,Yoga 101,1
New York City,NY,281.25,Yoga 101,1
Buffalo,NY,416.26,Insanity,1
Reading,PA,270.88,PiYo,1
Elmira,NY,236.73,Zumba,1
New York City,NY,384.54,PiYo,1
Reading,PA,212.29,Spinning,1
Flushing,NY,417.14,Yoga 101,1
Philadelphia,PA,479.92,Insanity,1
Harrisburg,PA,117.24,Yoga 101,1
Pittsburgh,PA,103.17,Zumba,1
Scranton,PA,486.32,PiYo,1
Camden,NJ,428.93,PiYo,1
Schenectady,NY,222.1,Insanity,1
Erie,PA,435.7,Spinning,1
New York City,NY,234.24,Yoga 101,1
Erie,PA,352.54,Yoga 101,1
Trenton,NJ,401.8,Yoga 201,1
Buffalo,NY,251.93,Zumba,1
Buffalo,NY,276.7,Yoga 201,1
Harrisburg,PA,353.34,Insanity,1
Elmira,NY,225.02,PiYo,1
Pittsburgh,PA,120.02,PiYo,1
Schenectady,NY,427.89,Yoga 201,1
Wilkes Barre,PA,456.07,Yoga 101,1
Pittsburgh,PA,482.32,Yoga 101,1
Harrisburg,PA,431.4,Yoga 101,1
Trenton,NJ,393.18,Insanity,1
Philadelphia,PA,128.94,Zumba,1
Albany,NY,294.25,PiYo,1
Mc Keesport,PA,235.1,Insanity,1
Trenton,NJ,324.92,PiYo,1
Brooklyn,NY,352.55,Zumba,1
Scranton,PA,443.9,Spinning,1
Harrisburg,PA,158.51,PiYo,1
New York City,NY,283.41,Insanity,1
Rochester,NY,160.22,Yoga 101,1
Newark,NJ,121.11,Spinning,1
Utica,NY,467.38,Insanity,1
Newark,NJ,337.84,Spinning,1
Utica,NY,397.44,Yoga 101,1
Philadelphia,PA,157.22,Zumba,1
Albany,NY,270.43,Zumba,1
Paterson,NJ,481.55,Insanity,1
Staten Island,NY,373.12,PiYo,1
Philadelphia,PA,499.52,Yoga 101,1
